,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint Paul Harbor,57.79,-152.41,53.6,66,1,4.23,US,1599972485
1,Zhigalovo,54.81,105.16,49.77,90,100,2.28,RU,1599972487
2,Qaanaaq,77.48,-69.36,23.99,85,97,9.1,GL,1599972488
3,Kruisfontein,-34.0,24.73,62.01,80,98,5.01,ZA,1599972489
4,Ixtapa,20.7,-105.2,80.01,88,75,4.7,MX,1599972490
5,Mataura,-46.19,168.86,48.0,97,100,1.99,NZ,1599972491
6,Yantal',56.85,105.25,47.07,87,100,8.08,RU,1599972493
7,Aksu,41.12,80.26,76.1,29,0,3.24,CN,1599972494
8,Puerto Ayora,-0.74,-90.35,66.99,93,97,7.0,EC,1599972495
9,Coolum Beach,-26.53,153.1,71.01,75,20,3.0,AU,1599972496
10,Souillac,-20.52,57.52,71.6,83,75,6.93,MU,1599972497
11,Grand Gaube,-20.01,57.66,73.99,75,8,7.0,MU,1599972499
12,Ushuaia,-54.8,-68.3,39.2,86,40,10.29,AR,1599972500
13,Albany,42.6,-73.97,59.0,100,6,8.21,US,1599972487
14,Severo-Kuril'sk,50.68,156.12,50.77,83,73,23.38,RU,1599972502
15,Wawa,9.9,4.42,73.8,93,100,8.05,NG,1599972503
16,Hinton,53.4,-117.59,48.96,87,91,2.24,CA,1599972261
17,Hilo,19.73,-155.09,80.6,61,1,3.36,US,1599972482
18,Hermanus,-34.42,19.23,55.0,86,75,5.99,ZA,1599972507
19,Izhma,65.01,53.91,49.64,77,85,8.28,RU,1599972508
20,Luís Correia,-2.88,-41.67,76.57,83,37,13.56,BR,1599972509
21,Tiksi,71.69,128.87,49.28,65,0,1.41,RU,1599972511
22,Sawākin,19.11,37.33,91.15,57,24,7.74,SD,1599972512
23,Tasiilaq,65.61,-37.64,33.8,74,98,3.18,GL,1599972513
24,Sonthofen,47.52,10.28,53.01,93,0,1.99,DE,1599972514
25,Jamestown,42.1,-79.24,64.99,88,90,13.87,US,1599972516
26,Lima,-12.04,-77.03,60.8,82,90,10.29,PE,1599972258
27,Griffith,41.53,-87.42,66.99,93,40,5.82,US,1599972256
28,Castro,-24.79,-50.01,64.98,44,10,1.88,BR,1599972519
29,Najrān,17.49,44.13,73.4,23,25,1.57,SA,1599972357
30,Mikhaylovka,50.06,43.24,59.0,52,0,4.41,RU,1599972521
31,Nome,64.5,-165.41,51.8,76,40,9.17,US,1599972523
32,Rikitea,-23.12,-134.97,73.2,84,79,8.03,PF,1599972524
33,Morehead,37.27,-87.18,75.2,100,40,3.76,US,1599972525
34,Aygut,40.68,45.17,66.49,56,0,3.06,AM,1599972526
35,Cortez,37.35,-108.59,53.6,66,1,10.29,US,1599972527
36,Hong Kong,22.29,114.16,91.99,69,100,5.99,HK,1599972529
37,Bathsheba,13.22,-59.52,82.4,83,40,8.05,BB,1599972530
38,Hithadhoo,-0.6,73.08,82.67,71,79,7.87,MV,1599972531
39,Sitrah,26.15,50.62,93.2,59,59,3.36,BH,1599972532
40,Puerto Colombia,10.99,-74.95,78.8,100,40,9.17,CO,1599972534
41,Kapaa,22.08,-159.32,82.4,65,20,11.41,US,1599972535
42,Port Alfred,-33.59,26.89,74.79,33,39,10.74,ZA,1599972536
43,Bogo,11.05,124.01,90.09,61,60,1.16,PH,1599972537
44,Saint-Philippe,-21.36,55.77,75.2,69,20,14.99,RE,1599972538
45,Atambua,-9.11,124.89,86.14,35,99,4.68,ID,1599972540
46,Pevek,69.7,170.31,43.7,80,0,1.01,RU,1599972541
47,Inírida,3.87,-67.92,74.23,91,68,2.13,CO,1599972542
48,Novomichurinsk,54.04,39.75,48.0,80,23,1.01,RU,1599972543
49,Punta Arenas,-53.15,-70.92,41.0,86,98,25.28,CL,1599972544
50,Yerbogachën,61.28,108.01,57.43,53,0,5.93,RU,1599972546
51,Sibolga,1.74,98.78,85.73,56,97,4.09,ID,1599972547
52,Thompson,55.74,-97.86,39.2,93,90,4.7,CA,1599972548
53,Hasaki,35.73,140.83,77.0,83,75,10.29,JP,1599972549
54,Sovetskiy,61.36,63.58,48.79,75,39,6.26,RU,1599972551
55,Road Town,18.42,-64.62,81.0,86,13,5.01,VG,1599972526
56,Pisco,-13.7,-76.22,60.8,82,20,6.93,PE,1599972553
57,Hobart,-42.88,147.33,59.0,41,75,21.92,AU,1599972554
58,Bonavista,48.65,-53.11,52.79,78,19,18.1,CA,1599972555
59,Xining,36.62,101.77,64.53,46,88,8.93,CN,1599972557
60,Cape Town,-33.93,18.42,57.99,82,75,23.04,ZA,1599972294
61,Manama,26.22,50.58,93.2,59,56,3.36,BH,1599972559
62,George Town,5.41,100.34,86.0,70,40,5.82,MY,1599972309
63,Mahébourg,-20.41,57.7,71.6,83,75,6.93,MU,1599972561
64,Iqaluit,63.75,-68.51,37.4,86,90,5.82,CA,1599972562
65,Batagay-Alyta,67.8,130.41,52.56,51,92,8.43,RU,1599972564
66,Busselton,-33.65,115.33,69.01,42,12,3.22,AU,1599972565
67,Grindavik,63.84,-22.43,44.6,70,75,13.87,IS,1599972566
68,Cabo San Lucas,22.89,-109.91,81.0,89,11,1.01,MX,1599972567
69,Atasū,48.68,71.64,70.23,24,2,5.53,KZ,1599972569
70,Norman Wells,65.28,-126.83,35.6,74,75,4.7,CA,1599972570
71,Port Elizabeth,-33.92,25.57,68.0,49,81,19.46,ZA,1599972571
72,College,64.86,-147.8,48.2,61,75,3.56,US,1599972289
73,Sur,22.57,59.53,89.78,36,79,4.25,OM,1599972573
74,Dingle,11.0,122.67,88.25,68,73,5.39,PH,1599972575
75,Oussouye,12.48,-16.55,75.02,93,66,2.13,SN,1599972576
76,Sitka,57.05,-135.33,53.6,66,75,5.82,US,1599972577
77,Kalabo,-14.97,22.68,58.5,46,0,6.15,ZM,1599972578
78,Nakasongola,1.31,32.46,66.07,89,93,4.54,UG,1599972580
79,Tashtagol,52.77,87.89,56.39,54,1,5.21,RU,1599972581
80,San Andrés,12.58,-81.7,80.6,88,75,2.24,CO,1599972502
81,Salò,45.61,10.53,69.01,88,0,3.36,IT,1599972583
82,Bethel,41.37,-73.41,54.0,93,1,3.36,US,1599972585
83,Warrington,53.39,-2.58,64.4,72,20,16.11,GB,1599972586
84,Port Hardy,50.7,-127.42,51.8,93,90,3.36,CA,1599972587
85,Tocopilla,-22.09,-70.2,58.78,63,22,2.77,CL,1599972589
86,Lazo,43.38,133.9,53.58,87,100,9.37,RU,1599972590
87,Marathon,44.9,-89.77,57.99,100,90,8.05,US,1599972330
88,Fort Nelson,58.81,-122.7,48.2,70,75,5.82,CA,1599972592
89,Samarai,-10.62,150.67,77.23,75,26,11.88,PG,1599972593
90,Te Anau,-45.42,167.72,48.83,91,100,8.01,NZ,1599972595
91,Quatre Cocos,-20.21,57.76,73.0,83,75,6.93,MU,1599972596
92,Torbay,47.67,-52.73,53.01,87,75,12.75,CA,1599972597
93,Ghogha,21.68,72.28,84.13,79,61,9.26,IN,1599972598
94,East London,-33.02,27.91,77.0,31,3,6.93,ZA,1599972600
95,Hope,33.67,-93.59,73.99,77,0,5.01,US,1599972314
96,Nishihara,26.18,127.76,86.0,79,75,8.05,JP,1599972602
97,High Level,58.52,-117.14,42.8,93,75,2.28,CA,1599972603
98,Avarua,-21.21,-159.78,78.8,88,0,9.17,CK,1599972604
99,Ahmadpur,18.7,76.93,80.6,65,90,6.93,IN,1599972606
100,Yangi Marg`ilon,40.43,71.72,71.6,30,0,4.7,UZ,1599972607
101,Kaeo,-35.1,173.78,60.01,52,0,8.99,NZ,1599972608
102,Rocha,-34.48,-54.33,43.09,86,0,0.74,UY,1599972609
103,Ridgecrest,35.62,-117.67,80.01,16,0,2.55,US,1599972451
104,Lensk,60.73,114.93,48.27,90,100,4.16,RU,1599972611
105,Makkah al Mukarramah,21.43,39.83,97.3,19,0,9.78,SA,1599972613
106,Minas,-34.38,-55.24,48.2,87,25,4.7,UY,1599972326
107,São Filipe,14.9,-24.5,78.71,84,100,18.01,CV,1599972615
108,Harper,4.38,-7.72,76.08,91,100,8.05,LR,1599972616
109,Tuktoyaktuk,69.45,-133.04,30.2,80,90,10.29,CA,1599972617
110,Khatanga,71.97,102.5,58.98,60,34,7.54,RU,1599972619
111,Mundo Nuevo (Ojo de Agua),18.7,-95.5,80.4,84,95,7.27,MX,1599972620
112,Sortavala,61.71,30.69,52.61,84,86,17.09,RU,1599972621
113,Gornopravdinsk,60.05,69.9,54.84,77,90,5.14,RU,1599972622
114,Cradock,-32.16,25.62,66.76,27,20,17.85,ZA,1599972624
115,Ketchikan,55.34,-131.65,55.4,82,1,8.05,US,1599972401
116,Yellowknife,62.46,-114.35,42.01,100,90,4.7,CA,1599972626
117,São João do Piauí,-8.36,-42.25,73.65,54,82,10.74,BR,1599972627
118,Ambon City,-3.7,128.18,86.0,70,40,6.93,ID,1599972628
119,Dawlatabad,36.41,64.91,77.38,18,0,5.21,AF,1599972629
120,Jatai,-17.88,-51.71,72.73,27,0,9.28,BR,1599972631
121,Kaabong,3.48,34.15,67.21,67,7,2.62,UG,1599972632
122,Bluff,-46.6,168.33,48.0,97,100,1.99,NZ,1599972633
123,Talnakh,69.49,88.4,59.0,67,99,22.37,RU,1599972634
124,Rakiv Lis,51.62,24.92,57.88,82,10,6.62,UA,1599972636
125,Korla,41.76,86.15,75.43,18,40,5.03,CN,1599972637
126,Lavrentiya,65.58,-171.0,44.13,78,69,8.61,RU,1599972638
127,Paraguaçu Paulista,-22.41,-50.58,72.81,32,0,4.36,BR,1599972608
128,Balabac,7.99,117.06,87.01,66,85,2.59,PH,1599972641
129,Altay,47.87,88.12,62.51,27,61,6.44,CN,1599972642
130,Caravelas,-17.71,-39.25,71.44,85,0,7.85,BR,1599972643
131,Tabas,33.6,56.92,77.0,17,0,4.7,IR,1599972645
132,New Norfolk,-42.78,147.06,57.99,62,74,1.99,AU,1599972646
133,Namatanai,-3.67,152.43,83.12,78,96,11.52,PG,1599972647
134,Tura,25.52,90.22,79.2,93,100,2.95,IN,1599972649
135,Sakaiminato,35.55,133.23,73.4,78,75,8.05,JP,1599972650
136,Cidreira,-30.18,-50.21,64.53,92,100,19.51,BR,1599972651
137,Seoul,37.57,126.98,78.8,53,75,3.51,KR,1599972583
138,Ust-Kuyga,70.02,135.6,55.26,47,100,5.23,RU,1599972653
139,Atuona,-9.8,-139.03,78.35,75,33,15.43,PF,1599972654
140,Lorengau,-2.02,147.27,82.87,81,71,13.42,PG,1599972656
141,Verkhnyaya Inta,65.98,60.31,49.3,75,64,13.04,RU,1599972657
